Rank,Player,Team,Position,Points,Games,Avg,Teams,Age,Height,College,Years in NFL
204,Odell Beckham Jr.,LAR,WR,85.1,14,6.1,"NYG, CLE, LAR",29, 5-11,LSU,8
205,D'Ernest Johnson,CLE,RB,85.1,13,6.6,CLE,26, 5-10,University of South Florida,3
207,J.D. McKissic,WAS,RB,84.9,11,7.7,"SEA, DET, WAS",28, 5-10,Arkansas State,5
207,D'Onta Foreman,TEN,RB,84.9,9,9.4,"HOU, TEN",25, 6-1,Texas,4
209,Byron Pringle,KC,WR,84.8,16,5.3,KC,28, 6-1,Kansas State,4
210,Jared Cook,LAC,TE,84.4,16,5.3,"TEN, LAR, GB, LV, NO, LAC",34, 6-5,South Carolina,13
210,Kalif Raymond,DET,WR,84.4,16,5.3,"DEN, NYG, TEN, DET",27, 5-8,Holy Cross,5
212,T.J. Hockenson,DET,TE,84.3,12,7,DET,24, 6-5,Iowa,3
213,Brandon Bolden,NE,RB,83.1,16,5.2,"NE, MIA",32, 5-11,Mississippi,9
214,Ty Johnson,NYJ,RB,83,15,5.5,"DET, NYJ",24, 5-10,Maryland,3
215,Zack Moss,BUF,RB,82.2,13,6.3,BUF,24, 5-9,Utah,2
216,Mecole Hardman,KC,WR,81.9,17,4.8,KC,24, 5-10,Georgia,3
217,Mark Ingram II,BAL,RB,81.6,14,5.8,"NO, BAL",32, 5-9,Alabama,11
218,Jarvis Landry,CLE,WR,81,12,6.8,"MIA, CLE",29, 5-11,LSU,8
219,Rex Burkhead,HOU,RB,79.3,15,5.3,"CIN, NE, HOU",31, 5-10,Nebraska,9
220,C.J. Uzomah,CIN,TE,79.3,16,5,CIN,29, 6-6,Auburn,7
221,Antonio Brown,TB,WR,79.1,7,11.3,"PIT, NE, TB",33, 5-10,Central Michigan,11
222,Darren Waller,LV,TE,78.5,11,7.1,"BAL, LV",29, 6-6,Georgia Tech,5
224,Tyler Conklin,MIN,TE,77.3,17,4.6,MIN,26, 6-3,Central Michigan,4
225,Cole Beasley,BUF,WR,77.3,16,4.8,"DAL, BUF",32, 5-8,SMU,10
226,Deonte Harty,NO,WR,77.1,13,5.9,NO,24, 5-6,Assumption,3
227,Jacoby Brissett,MIA,QB,76.4,11,7,"NE, IND, MIA",29, 6-4,N.C. State,6
228,Donovan Peoples-Jones,CLE,WR,75.7,14,5.4,CLE,23, 6-2,Michigan,2
229,Braxton Berrios,NYJ,WR,75.1,16,4.7,"NE, NYJ",26, 5-9,Miami,4
230,Bryan Edwards,LV,WR,75.1,16,4.7,LV,23, 6-3,South Carolina,2
231,Quez Watkins,PHI,WR,73,17,4.3,PHI,23, 6-0,Southern Mississippi,2
232,Nyheim Hines,IND,RB,72.6,17,4.3,IND,25, 5-9,N.C. State,4
233,Kenyan Drake,LV,RB,72.5,12,6,"MIA, ARI, LV",28, 6-1,Alabama,6
234,David Njoku,CLE,TE,71.6,15,4.8,CLE,25, 6-4,Miami,5
235,Corey Davis,NYJ,WR,71.2,9,7.9,"TEN, NYJ",27, 6-3,Western Michigan,5
236,Gerald Everett,SEA,TE,69.8,15,4.7,"LAR, SEA",27, 6-3,South Alabama,5
237,Nick Westbrook-Ikhine,TEN,WR,69.6,15,4.6,TEN,24, 6-2,Indiana,2
238,Ronald Jones II,TB,RB,69.2,15,4.6,TB,24, 5-11,USC,4
239,Ka'imi Fairbairn,HOU,K,68,13,5.2,HOU,28, 6-0,UCLA,6
240,Trey Lance,SF,QB,67,6,11.2,SF,21, 6-4,North Dakota State,0
241,Nelson Agholor,NE,WR,66.4,15,4.4,"PHI, LV, NE",28, 6-0,USC,7
242,Jalen Guyton,LAC,WR,66.2,16,4.1,LAC,24, 6-1,North Texas,2
243,Randall Cobb,GB,WR,65.6,11,6,"GB, DAL, HOU",31, 5-10,Kentucky,11
246,Khalil Herbert,CHI,RB,64.9,16,4.1,CHI,23, 5-9,Virginia Tech,0
247,Justin Jackson,LAC,RB,64.2,14,4.6,LAC,25, 6-0,Northwestern,4
248,Laviska Shenault Jr.,JAC,WR,64,16,4,JAC,23, 6-1,Colorado,2
250,DeVante Parker,MIA,WR,63.5,10,6.4,MIA,29, 6-3,Louisville,7
251,DeAndre Carter,WAS,WR,62.5,17,3.7,"HOU, CHI, WAS",28, 5-8,Sacramento State,4
252,Brett Maher,NO,K,62,8,7.8,"DAL, ARI, NO",32, 6-0,Nebraska,3
253,Freddie Swain,SEA,WR,61.5,17,3.6,SEA,23, 6-0,Florida,2
